path,crop,class,kb_disease_slug,pathogen_type,source_dataset,source_url,license,organ,split,phash
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,d0d023af907e0dde
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_10.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,dbc9c8c1d0fa3a34
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_100.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,bfa0a8c398c19f69
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1000.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,val,d52b84f5aad482f1
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1001.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,test,988f268fc49e07dc
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1002.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,f27bd0b707ce9240
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1003.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,fad76667851c3822
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1004.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,ffdd8454d51050f1
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1005.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,test,cd8eb93d8780f8a1
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1006.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,8a478c8c73d7553a
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1007.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,ff00585b4c5a5c7c
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1008.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,f628075205716e7f
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1009.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,aac3d4d543b4a8ba
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_101.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,97b468ea6bc23269
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1010.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,e3675c6db146388c
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1011.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,ade4152afdaa15c8
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1012.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,val,fa4f842c9157fd20
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1013.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,ae03f8309d5d96d8
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1014.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,test,e0d16d337404bde6
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1015.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,ec31d1e686cc91b3
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1016.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,test,fc6b94d10e61127d
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1017.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,test,cee6247151edb223
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1018.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,test,9b9808f126cdf9aa
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1019.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,e6490516edc313ed
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_102.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,c2e13ec70f43d0c7
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1020.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,test,d8e430c8eb1b0f1f
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1021.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,da6092c29f5a2eab
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1022.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,db6abec96cb0c1c0
data/vision/images/banana/fusarium_wilt/tanzania_banana_dataverse/Image_1023.jpg,banana,fusarium_wilt,fusarium_wilt,fungi,tanzania_banana_dataverse,https://dataverse.harvard.edu/,CC BY 4.0,whole_plant,train,d495567ec16423e6
